Datetime,Open,High,Low,Close,Volume,rsi,macd,obv,so,action,change_pct,change_shares,profits,shares
2024-09-24 11:15:00-04:00,191.90020751953125,192.55999755859372,191.83999633789065,192.5200042724609,744132,55.39613941549972,-0.29277942773370885,1997625.0,35.08266163475091,hold,0.0,0.0,0.0,0.0
2024-09-24 11:30:00-04:00,192.5063018798828,192.57000732421875,192.1300048828125,192.5399932861328,662135,55.54838054028125,-0.20318901186920157,2659760.0,41.82566121542481,hold,0.0,0.0,0.0,0.0
2024-09-24 11:45:00-04:00,192.50999450683597,192.889892578125,192.34280395507807,192.86700439453125,735770,58.06978462139759,-0.11716443955106318,3395530.0,47.94530121604603,hold,0.0,0.0,0.0,0.0
2024-09-24 12:00:00-04:00,192.8699951171875,192.88999938964844,192.57000732421875,192.87989807128903,523159,58.17053255679595,-0.05766361830976782,3918689.0,50.234706238643064,hold,0.0,0.0,0.0,0.0
2024-09-24 12:15:00-04:00,192.889892578125,192.92999267578125,192.52999877929688,192.6309967041016,526736,55.40309229864178,-0.034482222816228786,3391953.0,50.81360946745562,hold,0.0,0.0,0.0,0.0
2024-09-24 12:30:00-04:00,192.61019897460935,192.8300018310547,192.50999450683597,192.67999267578125,423833,55.84837891757729,-0.016190642629571955,3815786.0,49.62396527357157,buy,-0.19267999267578126,10.0,0.0,10.0
2024-09-24 12:45:00-04:00,192.69000244140625,192.82460021972656,192.33009338378903,192.35499572753903,388588,52.13021920550267,-0.025753231488764988,3427198.0,46.284885617108515,hold,0.0,0.0,-3.249969482421875,10.0
2024-09-24 13:00:00-04:00,192.3500061035156,192.83639526367188,192.27999877929688,192.75,533462,55.96729215903963,-0.006265494496472748,3960660.0,57.838563223371835,buy,-0.19100232695964076,8.0,0.7000732421875,18.0
2024-09-24 13:15:00-04:00,192.72999572753903,192.9199981689453,192.6999969482422,192.77999877929688,390519,56.25408125357419,0.007129327041060909,4351179.0,73.16492052296475,hold,0.0,0.0,1.24005126953125,18.0
2024-09-24 13:30:00-04:00,192.7949981689453,193.3600006103516,192.79010009765625,193.2949981689453,664641,60.95555782634373,0.04693840525639323,5015820.0,91.67352098131136,hold,0.0,0.0,10.510040283203125,18.0
2024-09-24 13:45:00-04:00,193.2700042724609,193.3699951171875,193.17999267578125,193.3341064453125,540399,61.29573269783713,0.0707393289652902,5556219.0,97.17430374212672,sell,-0.08880486171479593,-3.0,11.2139892578125,15.0
2024-09-24 14:00:00-04:00,193.33999633789065,193.44000244140625,192.94000244140625,193.0110015869141,523872,56.88604113072703,0.05998214250448794,5032347.0,93.95994425968834,hold,0.0,0.0,6.3674163818359375,15.0
2024-09-24 14:15:00-04:00,193.01499938964844,193.1479949951172,192.83999633789065,192.8999938964844,403522,55.41111878871648,0.04152734590703058,4628825.0,85.4469776431133,hold,0.0,0.0,4.702301025390625,15.0
2024-09-24 14:30:00-04:00,192.88999938964844,192.94000244140625,192.5399932861328,192.69009399414065,612622,52.632303534649694,0.012809548180566677,4016203.0,70.19317072105578,hold,0.0,0.0,1.553802490234375,15.0
2024-09-24 14:45:00-04:00,192.702392578125,192.77999877929688,192.47999572753903,192.64010620117188,396082,51.963957488153184,-0.010659443730358376,3620121.0,54.83954778159776,buy,-0.1896276703944745,7.0,0.803985595703125,22.0
