Datetime,Open,High,Low,Close,Volume,rsi,macd,obv,so,action,change_pct,change_shares,profits,shares,curr_capital
2024-11-04 00:00:00-05:00,220.74713841963052,222.5451480336916,219.46854635353304,221.76600646972656,44944500,53.6769662342977,-1.872832154498048,-288165000.0,11.068449894965537,buy,-0.19958940582275392,9.0,0.0,9.0,8004.105941772461
2024-11-05 00:00:00-05:00,221.5562414690178,223.70387248945224,220.896963160989,223.2044219970703,28111300,55.48376747075729,-1.8192871355860512,-260053700.0,16.85668495734017,buy,-0.19520368237823466,7.0,12.94573974609375,16.0,6441.674987792969
2024-11-06 00:00:00-05:00,222.3653552641664,225.8215594779752,220.9469176537884,222.4752349853516,54561100,54.326941875809574,-1.7494758701278892,-314614800.0,17.60009549620286,buy,-0.17268430602828003,5.0,1.27874755859375,21.0,5329.298812866211
2024-11-07 00:00:00-05:00,224.38313701629485,227.629565273657,224.32320539488208,227.22999572753903,42137700,60.15999295777421,-1.319168714814118,-272477100.0,28.237979705633013,buy,-0.17055151434102445,4.0,101.12872314453125,25.0,4420.378829956055
2024-11-08 00:00:00-05:00,227.1699981689453,228.66000366210935,226.41000366210935,226.9600067138672,38328800,59.69379860164014,-1.0031282701810875,-310805900.0,36.1063085943792,buy,-0.15403205162584913,3.0,94.37899780273438,28.0,3739.498809814453
2024-11-11 00:00:00-05:00,225.0,225.6999969482422,221.5,224.22999572753903,42005600,55.04855844996417,-0.9299818714237014,-352811500.0,40.550011684543,hold,0.0,0.0,17.938690185546875,28.0,3739.498809814453
2024-11-12 00:00:00-05:00,224.5500030517578,225.58999633789065,223.3600006103516,224.22999572753903,40398300,55.04855844996417,-0.8365686699281202,-352811500.0,36.0177231772509,hold,0.0,0.0,17.938690185546875,28.0,3739.498809814453
2024-11-13 00:00:00-05:00,224.00999450683597,226.6499938964844,222.75999450683597,225.1199951171875,48566200,56.333323675189696,-0.6766451124241544,-304245300.0,33.43184403885711,buy,-0.18060173828082393,3.0,42.858673095703125,31.0,3064.1388244628906
2024-11-14 00:00:00-05:00,225.0200042724609,228.8699951171875,225.0,228.22000122070312,44923900,60.56154371356653,-0.34083793285653907,-259321400.0,42.57755185797613,buy,-0.148961920000937,2.0,138.9588623046875,33.0,2607.6988220214844
2024-11-15 00:00:00-05:00,226.3999938964844,226.9199981689453,224.2700042724609,225.0,47923700,54.642934963184715,-0.3149451378081678,-307245100.0,44.62450842889907,buy,-0.17256594059093092,2.0,32.698822021484375,35.0,2157.6988220214844
